,Syngas Production,Methanol Manufacture,Steam Cracker,Hydrodealkylation (THD),Disproportionation (TDP),Combustion,Metathesis,Dehydrogenation,Refinery,Urea Synthesis,SOHIO Process,Caprolactam Manufacture,Cumene Production,Hocks Process,PE Manufacture,PVC Manufacture,VC Production,PP Manufacture,Styrene production,EG Production,PTA Production,PET Production,Propylene Oxide Production,Neoprene Manufacture,Cement Manufacture,Electricity,Alumina Refining,Aluminum Smelting,Primary Ingot Casting,BF + BOF,EAF,Sulfuric Acid Production,Nitric Acid Production,Acetic acid production,Formaldehyde production,Cyclohexane Production,Adipic Acid Production,Adipic Acid distribution,PE Distribution,PVC Distribution,PP Distribution,PET Distribution,PTA Distribution,Catalytic Reformer
Methanol ,0,57.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.217474491,-13.32099844,0,0,0,0,0,0,0,0,0
Ethylene ,0,0,266.1428571,0,0,0,-2.515527951,0,0,0,0,0,0,0,-133.7142857,0,-31.5,0,-32.24571429,-32.24571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Propylene ,0,0,86.81506205,0,0,0,7.714285715,8.177142857,0,0,-10.18285714,0,-5.712444,0,0,0,0,-73.44,0,0,0,0,-12.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toluene ,0,0,16.81135289,-10.27173913,-11.60455111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.40178737
Benzene ,0,0,26.49061668,8.480769231,4.326923078,0,0,0,0,0,0,0,-11.96195538,0,0,0,0,0,-17.34812307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.81528772,0,0,0,0,0,0,0,18.68581177
Xylene ,0,0,7.641524042,0,7.277628033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-72.81509435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.31725697
Butene ,0,0,0,0,0,0,-5.869565217,0,5.869565217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Propane ,0,0,0,0,0,0,0,-9.210436364,9.210436364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syngas,84.11509789,-11.4968283,0,0,0,0,0,0,0,-66.93882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.679446064,0,0,0,0,0,0,0,0,0,0
Urea ,0,0,0,0,0,0,0,0,0,65.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammonia ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acrylonitrile,0,0,0,0,0,0,0,0,0,0,7.335849057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyclohexane ,0,0,0,0,0,0,0,0,0,0,0,-9.089724986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7000107,-3.610285715,0,0,0,0,0,0,0
Caprolactam ,0,0,0,0,0,0,0,0,0,0,0,6.560158938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cumene ,0,0,0,0,0,0,0,0,0,0,0,0,12.3417,-12.3417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phenol ,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
